,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
576,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-lower-portion-for-rent-578279,3,3,1,G-13 Islamabad,March 8 2022,85000,G-13 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
577,650 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-gt-road-650-sqft-apartment-for-rent-578924,2,2,1,GT Road Islamabad,March 8 2022,30000,GT Road ,650 Sqft Apartment , Rent,650,Sqft Apartment ,Sqft,Apartment 
578,10 Marla House for Rent,https://www.graana.com/property/islamabad-b-17-10-marla-house-for-rent-578605,6,6,0,B-17 Islamabad,March 8 2022,80000,B-17 ,10 Marla House , Rent,10,Marla House ,Marla,House 
579,6 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-e-11-6-marla-upper-portion-for-rent-575595,2,2,1,E-11 Islamabad,March 8 2022,65000,E-11 ,6 Marla Upper Portion , Rent,6,Marla Upper Portion ,Marla,Upper Portion 
580,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-e-11-1-kanal-upper-portion-for-rent-578317,3,3,1,E-11 Islamabad,March 8 2022,160000,E-11 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
581,14 Marla House for Rent,https://www.graana.com/property/islamabad-g-15-3-14-marla-house-for-rent-578699,9,9,3,G-15/3 Islamabad,March 8 2022,175000,G-15/3 ,14 Marla House , Rent,14,Marla House ,Marla,House 
582,14 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-15-3-14-marla-basement-for-rent-578708,3,3,1,G-15/3 Islamabad,March 8 2022,45000,G-15/3 ,14 Marla Basement , Rent,14,Marla Basement ,Marla,Basement 
583,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-15-4-7-marla-upper-portion-for-rent-578725,3,3,1,G-15/4 Islamabad,March 8 2022,60000,G-15/4 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
584,804 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-dha-phase-2-804-sqft-apartment-for-rent-579108,2,2,0,DHA Phase 2 Islamabad,March 8 2022,45000,DHA Phase 2 ,804 Sqft Apartment , Rent,804,Sqft Apartment ,Sqft,Apartment 
585,7 Marla House for Rent,https://www.graana.com/property/islamabad-f-17-7-marla-house-for-rent-574878,3,3,0,F-17 Islamabad,March 8 2022,60000,F-17 ,7 Marla House , Rent,7,Marla House ,Marla,House 
586,120 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-murree-expressway-120-sqft-apartment-for-rent-578591,1,1,1,Murree Expressway Islamabad,March 8 2022,30000,Murree Expressway ,120 Sqft Apartment , Rent,120,Sqft Apartment ,Sqft,Apartment 
587,450 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-578596,1,1,1,E-11 Islamabad,March 8 2022,45000,E-11 ,450 Sqft Apartment , Rent,450,Sqft Apartment ,Sqft,Apartment 
588,4 Marla House for Rent,https://www.graana.com/property/islamabad-d-12-4-marla-house-for-rent-578598,3,3,1,D-12 Islamabad,March 8 2022,110000,D-12 ,4 Marla House , Rent,4,Marla House ,Marla,House 
589,6 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-9-3-6-marla-upper-portion-for-rent-576182,2,2,1,G-9/3 Islamabad,March 7 2022,50000,G-9/3 ,6 Marla Upper Portion , Rent,6,Marla Upper Portion ,Marla,Upper Portion 
590,10 marla house for Rent,https://www.graana.com/property/islamabad-e-11-2-10-marla-house-for-rent-460997,3,3,1,E-11/2 Islamabad,March 7 2022,55000,E-11/2 ,10 marla house , Rent,10,marla house ,marla,house 
591,4500 Sqft house for Rent,https://www.graana.com/property/islamabad-e-11-4500-sqft-house-for-rent-464784,8,8,1,E-11 Islamabad,March 7 2022,400000,E-11 ,4500 Sqft house , Rent,4500,Sqft house ,Sqft,house 
592,4.4 marla room for Rent,https://www.graana.com/property/islamabad-e-11-1100-sqft-house-for-rent-467922,0,0,0,E-11 Islamabad,March 7 2022,30000,E-11 ,4.4 marla room , Rent,4.4,marla room ,marla,room 
593,6 marla house for Rent,https://www.graana.com/property/islamabad-e-11-6-marla-house-for-rent-432004,3,3,0,E-11 Islamabad,March 7 2022,120000,E-11 ,6 marla house , Rent,6,marla house ,marla,house 
594,10 Marla House for Rent,https://www.graana.com/property/islamabad-e-11-10-marla-house-for-rent-477524,3,3,0,E-11 Islamabad,March 7 2022,100000,E-11 ,10 Marla House , Rent,10,Marla House ,Marla,House 
595,1 kanal house for Rent,https://www.graana.com/property/islamabad-e-11-20-marla-house-for-rent-476059,8,9,3,E-11 Islamabad,March 7 2022,295000,E-11 ,1 kanal house , Rent,1,kanal house ,kanal,house 
596,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-577857,5,5,2,DHA Phase 2 Islamabad,March 7 2022,200000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
597,1 Kanal House for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-house-for-rent-577878,5,5,2,DHA Phase 2 Islamabad,March 7 2022,210000,DHA Phase 2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
598,12 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-12-marla-house-for-rent-294045,3,3,2,G-13/1 Islamabad,March 7 2022,70000,G-13/1 ,12 Marla House , Rent,12,Marla House ,Marla,House 
599,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-markaz-10-marla-house-for-rent-288137,3,3,0,G-13 Markaz Islamabad,March 7 2022,60000,G-13 Markaz ,10 Marla House , Rent,10,Marla House ,Marla,House 
600,4 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-13-4-marla-basement-for-rent-300660,2,2,1,G-13 Islamabad,March 7 2022,25000,G-13 ,4 Marla Basement , Rent,4,Marla Basement ,Marla,Basement 
601,10.7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-1-10.7-marla-house-for-rent-303525,3,3,3,G-13/1 Islamabad,March 7 2022,52000,G-13/1 ,10.7 Marla House , Rent,10.7,Marla House ,Marla,House 
602,1800 Sqft House for Rent,https://www.graana.com/property/islamabad-g-13-1800-sqft-house-for-rent-322677,4,6,1,G-13 Islamabad,March 7 2022,90000,G-13 ,1800 Sqft House , Rent,1800,Sqft House ,Sqft,House 
603,8 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-13-2-8-marla-basement-for-rent-356424,3,3,1,G-13/2 Islamabad,March 7 2022,45000,G-13/2 ,8 Marla Basement , Rent,8,Marla Basement ,Marla,Basement 
604,147 Sqft Room for Rent,https://www.graana.com/property/islamabad-g-13-2-147-sqft-room-for-rent-443575,1,1,1,G-13/2 Islamabad,March 7 2022,12000,G-13/2 ,147 Sqft Room , Rent,147,Sqft Room ,Sqft,Room 
605,1 Kanal Basement for rent,https://www.graana.com/property/islamabad-g-13-2-1-kanal-basement-for-rent-476665,3,3,1,G-13/2 Islamabad,March 7 2022,60000,G-13/2 ,1 Kanal Basement , rent,1,Kanal Basement ,Kanal,Basement 
606,1 Kanal House for Rent,https://www.graana.com/property/islamabad-g-13-1-1-kanal-house-for-rent-478879,3,3,2,G-13/1 Islamabad,March 7 2022,70000,G-13/1 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
607,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-2-10-marla-house-for-rent-478878,3,3,1,G-13/2 Islamabad,March 7 2022,55000,G-13/2 ,10 Marla House , Rent,10,Marla House ,Marla,House 
608,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-3-10-marla-house-for-rent-478875,3,3,1,G-13/3 Islamabad,March 7 2022,65000,G-13/3 ,10 Marla House , Rent,10,Marla House ,Marla,House 
609,400 Sqyd Furnished Annexe for Rent,https://www.graana.com/property/islamabad-f-6-400-sqyd-house-for-rent-577154,4,4,3,F-6 Islamabad,March 7 2022,540000,F-6 ,400 Sqyd Furnished Annexe , Rent,400,Sqyd Furnished Annexe ,Sqyd,Furnished Annexe 
610,500 Sqyd Lower Portion for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-lower-portion-for-rent-577156,2,3,2,F-7 Islamabad,March 7 2022,240000,F-7 ,500 Sqyd Lower Portion , Rent,500,Sqyd Lower Portion ,Sqyd,Lower Portion 
611,300 Sqyd Annexe for Rent,https://www.graana.com/property/islamabad-f-7-300-sqyd-annexe-for-rent-577158,2,3,2,F-7 Islamabad,March 7 2022,150000,F-7 ,300 Sqyd Annexe , Rent,300,Sqyd Annexe ,Sqyd,Annexe 
